許可證字號,中文品名,英文品名,適應症,劑型,主成分略述,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001261號,癌適求注射液40毫克/毫升,ELREXFIO 40mg/mL solution for injection,ELREXFIO 適用於治療先前曾接受至少四線療法(包括一種蛋白酶體抑制劑、一種免疫調節劑和一種抗CD38單株抗體)並在最後治療顯示疾病惡化的復發性或難治性多發性骨髓瘤成人病人。,注射液劑,Elranatamab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001261號,癌適求注射液40毫克/毫升,ELREXFIO 40mg/mL solution for injection,ELREXFIO 適用於治療先前曾接受至少四線療法(包括一種蛋白酶體抑制劑、一種免疫調節劑和一種抗CD38單株抗體)並在最後治療顯示疾病惡化的復發性或難治性多發性骨髓瘤成人病人。,注射液劑,Elranatamab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001261號,癌適求注射液40毫克/毫升,ELREXFIO 40mg/mL solution for injection,ELREXFIO 適用於治療先前曾接受至少四線療法(包括一種蛋白酶體抑制劑、一種免疫調節劑和一種抗CD38單株抗體)並在最後治療顯示疾病惡化的復發性或難治性多發性骨髓瘤成人病人。,注射液劑,Elranatamab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001262號,世冠飛適新型冠狀病毒疫苗,Spikevax Injection,適用於 6 個月以上兒童、青少年及成人之主動免疫接種，以預防新型冠狀病毒疾病 (COVID-19，嚴重特殊傳染性肺炎)。,懸浮注射劑,mRNA-1273.251 LNP (LP.8.1 variant),,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001262號,世冠飛適新型冠狀病毒疫苗,Spikevax Injection,適用於 6 個月以上兒童、青少年及成人之主動免疫接種，以預防新型冠狀病毒疾病 (COVID-19，嚴重特殊傳染性肺炎)。,懸浮注射劑,mRNA-1273.251 LNP (LP.8.1 variant),,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001262號,世冠飛適新型冠狀病毒疫苗,Spikevax Injection,適用於 6 個月以上兒童、青少年及成人之主動免疫接種，以預防新型冠狀病毒疾病 (COVID-19，嚴重特殊傳染性肺炎)。,懸浮注射劑,mRNA-1273.251 LNP (LP.8.1 variant),,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001262號,世冠飛適新型冠狀病毒疫苗,Spikevax Injection,適用於 6 個月以上兒童、青少年及成人之主動免疫接種，以預防新型冠狀病毒疾病 (COVID-19，嚴重特殊傳染性肺炎)。,懸浮注射劑,mRNA-1273.251 LNP (LP.8.1 variant),,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001263號,希蓓麗活皮下注射液,Spevigo solution for injection 150mg/ml,適用於12 歲以上且體重至少達40 公斤的病人，預防全身型膿疱性乾癬發作。,注射液劑,Spesolimab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001263號,希蓓麗活皮下注射液,Spevigo solution for injection 150mg/ml,適用於12 歲以上且體重至少達40 公斤的病人，預防全身型膿疱性乾癬發作。,注射液劑,Spesolimab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001264號,杏瘤泰凍晶注射劑10毫克,Zynlonta 10 mg powder for concentrate for solution for infusion,"適用於治療復發型或難治型（relapsed or refractory）的瀰漫性大型B 細胞淋巴瘤（diffuse large B-cell lymphoma, DLBCL）與高惡性B 細胞淋巴瘤（high-grade B-cell lymphoma）且先前已接受至少兩線全身性療法之成人病人。",凍晶注射劑,Loncastuximab tesirine,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001264號,杏瘤泰凍晶注射劑10毫克,Zynlonta 10 mg powder for concentrate for solution for infusion,"適用於治療復發型或難治型（relapsed or refractory）的瀰漫性大型B 細胞淋巴瘤（diffuse large B-cell lymphoma, DLBCL）與高惡性B 細胞淋巴瘤（high-grade B-cell lymphoma）且先前已接受至少兩線全身性療法之成人病人。",凍晶注射劑,Loncastuximab tesirine,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001264號,杏瘤泰凍晶注射劑10毫克,Zynlonta 10 mg powder for concentrate for solution for infusion,"適用於治療復發型或難治型（relapsed or refractory）的瀰漫性大型B 細胞淋巴瘤（diffuse large B-cell lymphoma, DLBCL）與高惡性B 細胞淋巴瘤（high-grade B-cell lymphoma）且先前已接受至少兩線全身性療法之成人病人。",凍晶注射劑,Loncastuximab tesirine,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001264號,杏瘤泰凍晶注射劑10毫克,Zynlonta 10 mg powder for concentrate for solution for infusion,"適用於治療復發型或難治型（relapsed or refractory）的瀰漫性大型B 細胞淋巴瘤（diffuse large B-cell lymphoma, DLBCL）與高惡性B 細胞淋巴瘤（high-grade B-cell lymphoma）且先前已接受至少兩線全身性療法之成人病人。",凍晶注射劑,Loncastuximab tesirine,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001264號,杏瘤泰凍晶注射劑10毫克,Zynlonta 10 mg powder for concentrate for solution for infusion,"適用於治療復發型或難治型（relapsed or refractory）的瀰漫性大型B 細胞淋巴瘤（diffuse large B-cell lymphoma, DLBCL）與高惡性B 細胞淋巴瘤（high-grade B-cell lymphoma）且先前已接受至少兩線全身性療法之成人病人。",凍晶注射劑,Loncastuximab tesirine,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001265號,異可適注射劑,EBGLYSS Injection,適用於治療患有中度至重度異位性皮膚炎，且無法透過外用療法適當控制疾病或不建議接受這些療法之12歲以上且體重至少40公斤病人。可併用或不併用外用皮質類固醇治療。,注射液劑,Lebrikizumab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001266號,樂唯初注射劑100毫克/毫升,Beyfortus 100 mg/mL solution for injection,"預防呼吸道融合病毒(RSV)引起的下呼吸道疾病，適用於：
・一歲以下兒童。
・具有易感染嚴重RSV疾病的風險因子之一歲以上至未滿兩歲兒童。",注射液劑,Nirsevimab;;Nirsevimab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001266號,樂唯初注射劑100毫克/毫升,Beyfortus 100 mg/mL solution for injection,"預防呼吸道融合病毒(RSV)引起的下呼吸道疾病，適用於：
・一歲以下兒童。
・具有易感染嚴重RSV疾病的風險因子之一歲以上至未滿兩歲兒童。",注射液劑,Nirsevimab;;Nirsevimab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001266號,樂唯初注射劑100毫克/毫升,Beyfortus 100 mg/mL solution for injection,"預防呼吸道融合病毒(RSV)引起的下呼吸道疾病，適用於：
・一歲以下兒童。
・具有易感染嚴重RSV疾病的風險因子之一歲以上至未滿兩歲兒童。",注射液劑,Nirsevimab;;Nirsevimab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001266號,樂唯初注射劑100毫克/毫升,Beyfortus 100 mg/mL solution for injection,"預防呼吸道融合病毒(RSV)引起的下呼吸道疾病，適用於：
・一歲以下兒童。
・具有易感染嚴重RSV疾病的風險因子之一歲以上至未滿兩歲兒童。",注射液劑,Nirsevimab;;Nirsevimab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001266號,樂唯初注射劑100毫克/毫升,Beyfortus 100 mg/mL solution for injection,"預防呼吸道融合病毒(RSV)引起的下呼吸道疾病，適用於：
・一歲以下兒童。
・具有易感染嚴重RSV疾病的風險因子之一歲以上至未滿兩歲兒童。",注射液劑,Nirsevimab;;Nirsevimab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001266號,樂唯初注射劑100毫克/毫升,Beyfortus 100 mg/mL solution for injection,"預防呼吸道融合病毒(RSV)引起的下呼吸道疾病，適用於：
・一歲以下兒童。
・具有易感染嚴重RSV疾病的風險因子之一歲以上至未滿兩歲兒童。",注射液劑,Nirsevimab;;Nirsevimab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001266號,樂唯初注射劑100毫克/毫升,Beyfortus 100 mg/mL solution for injection,"預防呼吸道融合病毒(RSV)引起的下呼吸道疾病，適用於：
・一歲以下兒童。
・具有易感染嚴重RSV疾病的風險因子之一歲以上至未滿兩歲兒童。",注射液劑,Nirsevimab;;Nirsevimab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001269號,恆傑凝注射劑,Hemgenix,適用於治療年齡18歲以上且須使用第九凝血因子預防性療法的中重度至重度B型血友病病人，必須沒有第九凝血因子抑制因子病史，且既有第五血清型腺相關病毒(AAV5)中和抗體效價低於1:900。,注射液劑,Etranacogene dezaparvovec ,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001269號,恆傑凝注射劑,Hemgenix,適用於治療年齡18歲以上且須使用第九凝血因子預防性療法的中重度至重度B型血友病病人，必須沒有第九凝血因子抑制因子病史，且既有第五血清型腺相關病毒(AAV5)中和抗體效價低於1:900。,注射液劑,Etranacogene dezaparvovec ,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001273號,樂意保濃縮靜脈輸注液,LEQEMBI concentrate for solution for infusion,治療阿茲海默症引起的輕度認知障礙和輕度阿茲海默症（早期阿茲海默症）的病人，上述病人須與臨床試驗中所開始治療的族群相符，且限於帶有載脂蛋白E ɛ4對位基因異型合子者(ApoE ɛ4 heterozygous)或未帶有載脂蛋白E ɛ4基因者(non-carrier)。,注射液劑,Lecanemab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001273號,樂意保濃縮靜脈輸注液,LEQEMBI concentrate for solution for infusion,治療阿茲海默症引起的輕度認知障礙和輕度阿茲海默症（早期阿茲海默症）的病人，上述病人須與臨床試驗中所開始治療的族群相符，且限於帶有載脂蛋白E ɛ4對位基因異型合子者(ApoE ɛ4 heterozygous)或未帶有載脂蛋白E ɛ4基因者(non-carrier)。,注射液劑,Lecanemab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001273號,樂意保濃縮靜脈輸注液,LEQEMBI concentrate for solution for infusion,治療阿茲海默症引起的輕度認知障礙和輕度阿茲海默症（早期阿茲海默症）的病人，上述病人須與臨床試驗中所開始治療的族群相符，且限於帶有載脂蛋白E ɛ4對位基因異型合子者(ApoE ɛ4 heterozygous)或未帶有載脂蛋白E ɛ4基因者(non-carrier)。,注射液劑,Lecanemab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001276號,明諾凱凍晶乾燥注射劑200毫克,Minjuvi powder for concentrate for solution for infusion 200 mg,與Lenalidomide併用及接續單獨使用，適用於治療復發型(relapsed)或難治型(refractory)且不適合接受自體幹細胞移植(ASCT)的瀰漫性大型B細胞淋巴瘤(DLBCL)成人病人。,凍晶乾燥注射劑,Tafasitamab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001276號,明諾凱凍晶乾燥注射劑200毫克,Minjuvi powder for concentrate for solution for infusion 200 mg,與Lenalidomide併用及接續單獨使用，適用於治療復發型(relapsed)或難治型(refractory)且不適合接受自體幹細胞移植(ASCT)的瀰漫性大型B細胞淋巴瘤(DLBCL)成人病人。,凍晶乾燥注射劑,Tafasitamab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001276號,明諾凱凍晶乾燥注射劑200毫克,Minjuvi powder for concentrate for solution for infusion 200 mg,與Lenalidomide併用及接續單獨使用，適用於治療復發型(relapsed)或難治型(refractory)且不適合接受自體幹細胞移植(ASCT)的瀰漫性大型B細胞淋巴瘤(DLBCL)成人病人。,凍晶乾燥注射劑,Tafasitamab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001279號,波替立久濃縮靜脈輸注液,POTELIGEO 4 mg/mL concentrate for solution forinfusion,適用於已接受至少一種全身性治療的蕈狀肉芽腫(mycosis fungoides)或Sézary症候群(Sézary syndrome)成人病人的治療。,注射液劑,MOGAMULIZUMAB,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001279號,波替立久濃縮靜脈輸注液,POTELIGEO 4 mg/mL concentrate for solution forinfusion,適用於已接受至少一種全身性治療的蕈狀肉芽腫(mycosis fungoides)或Sézary症候群(Sézary syndrome)成人病人的治療。,注射液劑,MOGAMULIZUMAB,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001279號,波替立久濃縮靜脈輸注液,POTELIGEO 4 mg/mL concentrate for solution forinfusion,適用於已接受至少一種全身性治療的蕈狀肉芽腫(mycosis fungoides)或Sézary症候群(Sézary syndrome)成人病人的治療。,注射液劑,MOGAMULIZUMAB,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001281號,安泰適注射劑 1 毫克,IMDELLTRA for Injection 1 mg,適用於治療使用含鉑化學治療期間或之後疾病惡化之擴散期小細胞肺癌(ES-SCLC) 的成人病人。,凍晶乾燥注射劑,Tarlatamab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001281號,安泰適注射劑 1 毫克,IMDELLTRA for Injection 1 mg,適用於治療使用含鉑化學治療期間或之後疾病惡化之擴散期小細胞肺癌(ES-SCLC) 的成人病人。,凍晶乾燥注射劑,Tarlatamab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001281號,安泰適注射劑 1 毫克,IMDELLTRA for Injection 1 mg,適用於治療使用含鉑化學治療期間或之後疾病惡化之擴散期小細胞肺癌(ES-SCLC) 的成人病人。,凍晶乾燥注射劑,Tarlatamab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001281號,安泰適注射劑 1 毫克,IMDELLTRA for Injection 1 mg,適用於治療使用含鉑化學治療期間或之後疾病惡化之擴散期小細胞肺癌(ES-SCLC) 的成人病人。,凍晶乾燥注射劑,Tarlatamab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001282號,安泰適注射劑 10 毫克,IMDELLTRA for Injection 10 mg,適用於治療使用含鉑化學治療期間或之後疾病惡化之擴散期小細胞肺癌(ES-SCLC) 的成人病人。,凍晶乾燥注射劑,Tarlatamab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001282號,安泰適注射劑 10 毫克,IMDELLTRA for Injection 10 mg,適用於治療使用含鉑化學治療期間或之後疾病惡化之擴散期小細胞肺癌(ES-SCLC) 的成人病人。,凍晶乾燥注射劑,Tarlatamab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001282號,安泰適注射劑 10 毫克,IMDELLTRA for Injection 10 mg,適用於治療使用含鉑化學治療期間或之後疾病惡化之擴散期小細胞肺癌(ES-SCLC) 的成人病人。,凍晶乾燥注射劑,Tarlatamab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001282號,安泰適注射劑 10 毫克,IMDELLTRA for Injection 10 mg,適用於治療使用含鉑化學治療期間或之後疾病惡化之擴散期小細胞肺癌(ES-SCLC) 的成人病人。,凍晶乾燥注射劑,Tarlatamab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001283號,能伏鼻四價鼻噴式流感疫苗,FluMist Quadrivalent Flu Vaccine,適用於2歲以上至未滿18歲兒童及青少年之主動免疫接種，以預防此疫苗所涵蓋之A型與B型流感病毒所引起的流感。,鼻用噴液懸浮劑,"A/Norway/31694/2022 (H1N1, A/Victoria/4897/2022-like);;B/Phuket/3073/2013 (B/Yamagata lineage);;A/Norway/16606/2021 (H3N2, A/Darwin/9/2021-like);;B/Austria/1359417/2021 (B/Victoria lineage)-like virus",,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001283號,能伏鼻四價鼻噴式流感疫苗,FluMist Quadrivalent Flu Vaccine,適用於2歲以上至未滿18歲兒童及青少年之主動免疫接種，以預防此疫苗所涵蓋之A型與B型流感病毒所引起的流感。,鼻用噴液懸浮劑,"A/Norway/31694/2022 (H1N1, A/Victoria/4897/2022-like);;B/Phuket/3073/2013 (B/Yamagata lineage);;A/Norway/16606/2021 (H3N2, A/Darwin/9/2021-like);;B/Austria/1359417/2021 (B/Victoria lineage)-like virus",,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001285號,欣智樂注射劑 350毫克/20毫升,KISUNLA Injection 350 mg/20 mL,治療阿茲海默症引起的輕度認知障礙和輕度阿茲海默症 (早期阿茲海默症)的病人，即臨床試驗中所開始治療的族群，且限於帶有載脂蛋白Eε4對位基因異型合子者(APOEε4 heterozygous)或未帶有載脂蛋白Eε4基因者 (non-carrier)。,注射劑,DONANEMAB,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001285號,欣智樂注射劑 350毫克/20毫升,KISUNLA Injection 350 mg/20 mL,治療阿茲海默症引起的輕度認知障礙和輕度阿茲海默症 (早期阿茲海默症)的病人，即臨床試驗中所開始治療的族群，且限於帶有載脂蛋白Eε4對位基因異型合子者(APOEε4 heterozygous)或未帶有載脂蛋白Eε4基因者 (non-carrier)。,注射劑,DONANEMAB,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001285號,欣智樂注射劑 350毫克/20毫升,KISUNLA Injection 350 mg/20 mL,治療阿茲海默症引起的輕度認知障礙和輕度阿茲海默症 (早期阿茲海默症)的病人，即臨床試驗中所開始治療的族群，且限於帶有載脂蛋白Eε4對位基因異型合子者(APOEε4 heterozygous)或未帶有載脂蛋白Eε4基因者 (non-carrier)。,注射劑,DONANEMAB,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001287號,週胰保諾特筆,Awiqli 700 units/mL solution for injection in pre-filled pen (FlexTouch),治療成人糖尿病,注射液劑,INSULIN ICODEC,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001287號,週胰保諾特筆,Awiqli 700 units/mL solution for injection in pre-filled pen (FlexTouch),治療成人糖尿病,注射液劑,INSULIN ICODEC,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001288號,癌骨瓦預充填針筒注射劑120毫克,XGEVA solution for injection in pre-filled syringe 120 mg,"1.多發性骨髓瘤及實質腫瘤骨轉移
適用於實體腫瘤已有骨轉移及多發性骨髓瘤之成人病人，預防發生骨骼相關事件。
2.骨巨細胞瘤
適用於治療其骨巨細胞瘤無法以手術切除或手術切除可能導致重症(severe morbidity)的成人和骨骼發育成熟之青少年病人。
3.惡性高血鈣症
適用於治療雙磷酸鹽類藥物難治之頑固型惡性高血鈣症。",注射液劑,Denosumab,,,,,,,,,,,,,,,,,,,,,
