許可證字號,形狀,顏色
內衛成製字第000075號,圓形,白
內衛成製字第000386號,其他,棕
內衛成製字第000726號,圓形,黃
內衛成製字第001331號,顆粒劑、粉劑或散劑,棕
內衛成製字第001725號,顆粒劑、粉劑或散劑;;;顆粒劑、粉劑或散劑,棕;;;棕
內衛藥製字第000055號,圓形,橘
內衛藥製字第000102號,圓形,黑
內衛藥製字第000107號,膠囊,藍;;;透明
內衛藥製字第000140號,圓形,黃
內衛藥製字第000141號,圓形,白
內衛藥製字第000162號,六邊形,白
內衛藥製字第000164號,圓形,白
內衛藥製字第000258號,膠囊;;;膠囊,藍;;;白;;;藍;;;白
內衛藥製字第000261號,圓形,黃
內衛藥製字第000278號,圓形,黃
內衛藥製字第000286號,橢圓形,綠
內衛藥製字第000288號,圓形,白
內衛藥製字第000373號,圓形,綠
內衛藥製字第000394號,圓形,粉
內衛藥製字第000482號,其他,綠
內衛藥製字第000711號,圓形,白;;;白
衛部藥製字第060905號,橢圓形,黃
衛部藥製字第060906號,圓形,黃
衛部藥製字第060911號,三角形,白
衛部藥製字第060921號,橢圓形,黃
衛部藥製字第060922號,橢圓形,黃
衛部藥製字第060931號,圓形,粉
衛部藥製字第060950號,橢圓形,黃
衛部藥製字第060991號,顆粒劑、粉劑或散劑,棕
衛部藥製字第060993號,圓形,黃
衛部藥製字第061002號,圓形,白
衛部藥製字第061020號,圓形,黃
衛部藥製字第061021號,,;;;
衛部藥製字第061023號,液劑(包含糖漿用粉劑);;;液劑(包含糖漿用粉劑),透明;;;藍
衛部藥製字第061025號,圓形,白
衛部藥製字第061026號,四邊形,橘
衛部藥製字第061027號,橢圓形,橘
衛部藥製字第061031號,,
衛部藥製字第061032號,橢圓形,黃
衛部藥製字第061038號,圓形,粉
衛部藥製字第061039號,,
衛部藥製字第061040號,圓形,黃;;;黃
衛部藥製字第061042號,膠囊,黃;;;白
衛部藥製字第061043號,圓形,白
衛部藥製字第061044號,橢圓形,白
衛部藥製字第061045號,,
衛部藥製字第061048號,圓形,白
衛部藥製字第061052號,膠囊,白;;;白
衛部藥製字第061056號,圓形,粉
衛部藥製字第061057號,圓形,棕
衛部藥製字第061058號,圓形,黃
衛部藥製字第061063號,圓形,黃
衛部藥製字第061067號,液劑(包含糖漿用粉劑),橘
衛部藥製字第061075號,橢圓形,粉
衛部藥製字第061091號,四邊形,白
衛部藥製字第061095號,圓形,藍
衛部藥製字第061096號,橢圓形,白
衛部藥製字第061099號,橢圓形,白
衛部藥製字第061100號,圓形,白
衛部藥製字第061107號,圓形,白
衛部藥製字第061108號,其他,白
衛部藥製字第061116號,圓形,白
衛部藥製字第061120號,圓形,黃
衛部藥製字第061127號,圓形,黃
衛部藥製字第061133號,圓形,粉
衛部藥製字第061134號,顆粒劑、粉劑或散劑,橘
衛部藥製字第061136號,四邊形,粉
衛部藥製字第061138號,,
衛部藥製字第061144號,膠囊,藍;;;藍
衛部藥製字第061146號,圓形,黃
衛部藥製字第061147號,橢圓形,黃
衛部藥製字第061150號,其他,白
衛部藥製字第061151號,膠囊,橘;;;橘
衛部藥製字第061152號,膠囊,黃;;;黃
衛部藥製字第061157號,膠囊,藍綠;;;藍綠
衛部藥製字第061163號,圓形,灰
衛部藥製字第061165號,膠囊,白;;;白
衛部藥製字第061169號,圓形,白
衛部藥製字第061171號,四邊形,白
衛部藥製字第061172號,顆粒劑、粉劑或散劑,橘
衛部藥製字第061173號,圓形,粉
衛部藥製字第061185號,橢圓形,橘
衛部藥製字第061186號,圓形,黃
衛部藥製字第061187號,,
衛部藥製字第061188號,圓形,黃
衛部藥製字第061395號,圓形,黃
衛部藥製字第061396號,圓形,黃
衛部藥製字第061412號,液劑(包含糖漿用粉劑),透明
衛部藥製字第061413號,圓形,黃
衛部藥製字第061414號,膠囊,黃;;;白
衛部藥製字第061415號,液劑(包含糖漿用粉劑),白
衛部藥製字第061416號,三角形,綠
衛部藥製字第061418號,橢圓形,紅
衛部藥製字第061419號,圓形,白
衛部藥製字第061420號,膠囊,藍;;;粉
衛部藥製字第061424號,橢圓形,粉
衛部藥製字第061429號,圓形,白
衛部藥製字第061433號,圓形,黃
衛部藥製字第061435號,圓形,白
衛部藥製字第061446號,橢圓形,白
衛部藥製字第061447號,膠囊,藍;;;白
衛部藥製字第061449號,圓形,白
衛部藥製字第061459號,四邊形,藍
衛部藥製字第061460號,圓形,白
衛部藥製字第061461號,顆粒劑、粉劑或散劑,白
衛部藥製字第061464號,顆粒劑、粉劑或散劑,白
衛部藥製字第061466號,圓形,黃
衛部藥製字第061474號,,
衛部藥製字第061475號,液劑(包含糖漿用粉劑),
衛部藥製字第061476號,圓形,白
衛部藥製字第061478號,圓形,白
衛部藥製字第061480號,顆粒劑、粉劑或散劑,白
衛部藥製字第061481號,膠囊,黃;;;灰
衛部藥製字第061483號,圓形,粉
衛部藥製字第061484號,液劑(包含糖漿用粉劑),白
衛部藥製字第061486號,圓形,黃
衛部藥製字第061487號,圓形,白
衛部藥製字第061488號,其他,白;;;白
衛部藥製字第061491號,圓形,黃
衛部藥製字第061492號,橢圓形,黃
衛部藥製字第061493號,圓形,黃
衛部藥製字第061494號,橢圓形,白
衛部藥製字第061500號,橢圓形,橘
衛部藥製字第061502號,橢圓形,藍
衛部藥製字第061505號,橢圓形,白
衛部藥製字第061506號,,
衛部藥製字第061513號,圓形,白
衛部藥製字第061514號,橢圓形,白
衛部藥製字第061517號,液劑(包含糖漿用粉劑),粉
衛部藥製字第061560號,膠囊,橘;;;橘
衛部藥製字第061518號,,
衛部藥製字第061519號,液劑(包含糖漿用粉劑),白
衛部藥製字第061522號,圓形,橘
衛部藥製字第061523號,圓形,白
衛部藥製字第061524號,圓形,粉
衛部藥製字第061526號,圓形,白
衛部藥製字第061527號,圓形,黃
衛部藥製字第061528號,液劑(包含糖漿用粉劑);;;液劑(包含糖漿用粉劑),透明;;;透明
衛部藥製字第061532號,,
衛部藥製字第061533號,橢圓形,黃
衛部藥製字第061537號,液劑(包含糖漿用粉劑),透明;;;透明
衛部藥製字第061540號,,
衛部藥製字第061541號,顆粒劑、粉劑或散劑,白
衛部藥製字第061546號,其他,白;;;白
衛部藥製字第061548號,顆粒劑、粉劑或散劑,白
衛部藥製字第061549號,水滴形,黃
衛部藥製字第061550號,水滴形,黃
衛部藥製字第061554號,圓形,粉
衛部藥製字第061556號,顆粒劑、粉劑或散劑,白
衛部藥製字第061562號,四邊形,黃
衛部藥製字第061563號,圓形,白
衛部藥製字第061566號,圓形,粉
衛部藥製字第061569號,,;;;
衛部藥製字第061570號,,;;;
衛部藥製字第061573號,圓形,綠
衛部藥製字第061574號,四邊形,白
衛部藥製字第061579號,,
衛部藥製字第061581號,,
衛部藥製字第061582號,,
衛部藥製字第061587號,膠囊,紅;;;紅
衛部藥製字第061588號,圓形,橘
衛部藥製字第061589號,液劑(包含糖漿用粉劑),透明
衛部藥製字第061590號,圓形,黃;;;黃
衛部藥製字第061591號,圓形,白
衛部藥製字第061592號,顆粒劑、粉劑或散劑,粉
衛部藥製字第061795號,圓形,橘
衛部藥製字第061796號,其他,白
衛部藥製字第061799號,其他,白
衛部藥製字第061804號,四邊形,黃
衛部藥製字第061805號,圓形,白
衛部藥製字第061807號,,
衛部藥製字第061808號,圓形,白
衛部藥製字第061809號,橢圓形,白
衛部藥製字第061811號,其他,透明
衛部藥製字第061812號,,
衛部藥製字第061813號,圓形,白
衛部藥製字第061814號,圓形,白
衛部藥製字第061816號,其他,透明;;;透明
